Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2050000 through 2059999



2050000 --> Thursday, 05 - 11
2050428 --> Thursday, 05 - 18

2050429 --> Thursday, 05 - 10

2050430 --> Thursday, 05 - 30

2050431 --> Thursday, 05 - 15

2050432 --> Thursday, 05 - 06

2050433 --> Thursday, 05 - 26

2050434 --> Thursday, 05 - 11

2050435 --> Thursday, 05 - 03

2050436 --> Thursday, 05 - 22

2050437 --> Thursday, 05 - 14

2050438 --> Thursday, 05 - 27

2050439 --> Thursday, 05 - 19

2050440 --> Thursday, 05 - 10

2050441 --> Thursday, 05 - 30

2050442 --> Thursday, 05 - 15

2050443 --> Thursday, 05 - 07

2050444 --> Thursday, 05 - 26

2050445 --> Thursday, 05 - 11

2050446 --> Thursday, 05 - 31

2050447 --> Thursday, 05 - 23

2050448 --> Thursday, 05 - 07

2050449 --> Thursday, 05 - 27

2050450 --> Thursday, 05 - 19

2050451 --> Thursday, 05 - 04

2050452 --> Thursday, 05 - 23

2050453 --> Thursday, 05 - 15

2050454 --> Thursday, 04 - 30

2050455 --> Thursday, 05 - 20

2050456 --> Thursday, 05 - 11

2050457 --> Thursday, 05 - 31

2050458 --> Thursday, 05 - 16

2050459 --> Thursday, 05 - 08

2050460 --> Thursday, 05 - 27

2050461 --> Thursday, 05 - 12

2050462 --> Thursday, 05 - 04

2050463 --> Thursday, 05 - 24

2050464 --> Thursday, 05 - 15

2050465 --> Thursday, 05 - 28

2050466 --> Thursday, 05 - 20

2050467 --> Thursday, 05 - 12

2050468 --> Thursday, 05 - 31

2050469 --> Thursday, 05 - 16

2050470 --> Thursday, 05 - 08

2050471 --> Thursday, 05 - 28

2050472 --> Thursday, 05 - 12

2050473 --> Thursday, 05 - 04

2050474 --> Thursday, 05 - 24

2050475 --> Thursday, 05 - 09

2050476 --> Thursday, 05 - 28

2050477 --> Thursday, 05 - 20

2050478 --> Thursday, 05 - 05

2050479 --> Thursday, 05 - 25

2050480 --> Thursday, 05 - 16

2050481 --> Thursday, 05 - 01

2050482 --> Thursday, 05 - 21

2050483 --> Thursday, 05 - 13

2050484 --> Thursday, 06 - 01

2050485 --> Thursday, 05 - 17

2050486 --> Thursday, 05 - 09

2050487 --> Thursday, 05 - 29

2050488 --> Thursday, 05 - 20

2050489 --> Thursday, 05 - 05

2050490 --> Thursday, 05 - 25

2050491 --> Thursday, 05 - 17

2050492 --> Thursday, 05 - 01

2050493 --> Thursday, 05 - 21

2050494 --> Thursday, 05 - 13

2050495 --> Thursday, 06 - 02

2050496 --> Thursday, 05 - 17

2050497 --> Thursday, 05 - 09

2050498 --> Thursday, 05 - 29

2050499 --> Thursday, 05 - 14

2050500 --> Thursday, 05 - 06

2050501 --> Thursday, 05 - 26

2050502 --> Thursday, 05 - 11

2050503 --> Thursday, 05 - 31

2050504 --> Thursday, 05 - 22

2050505 --> Thursday, 05 - 07

2050506 --> Thursday, 05 - 27

2050507 --> Thursday, 05 - 19

2050508 --> Thursday, 05 - 03

2050509 --> Thursday, 05 - 23

2050510 --> Thursday, 05 - 15

